,Links,Judul,Deskripsi,Harga,Rating,Review
22,https://www.airbnb.com/rooms/41986707?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Cozy Apartment with a Very Helpful Host,2 guests · 1 bedroom · 1 bed · 1 bath,$16,4.98, (44 reviews)
23,https://www.airbnb.com/rooms/41245107?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Apartment near ICE & AEON mall BSD - Vidhyaloka2,4 guests · 1 bedroom · 0 beds · 1 bath,$32,5.0, (60 reviews)
24,https://www.airbnb.com/rooms/45181089?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,GWEN'S HOUSE - COZY & CHEAP APARTMENT IN BSD,4 guests · 1 bedroom · 2 beds · 1 bath,$29,5.0, (49 reviews)
25,https://www.airbnb.com/rooms/41440332?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Cozy space BSD @Roseville studio Apartment,2 guests · Studio · 0 beds · 1 bath,$18,4.96, (54 reviews)
26,https://www.airbnb.com/rooms/32675203?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Apartemen Treepark BSD 1Bed Room (20),2 guests · Studio · 1 bed · 1 bath,$18,4.76, (58 reviews)
27,https://www.airbnb.com/rooms/25983773?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,"Nice Studio apartment, just step away to Mall",2 guests · 1 bedroom · 0 beds · 1 bath,$18,5.0, (9 reviews)
28,https://www.airbnb.com/rooms/30106049?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,CASA DE PARCO BSD ( FEELS LIKE HOME ),2 guests · 1 bedroom · 1 bed · 1 bath,$13,5.0, (9 reviews)
29,https://www.airbnb.com/rooms/32582475?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Cozy apartment in the heart of BSD City,2 guests · Studio · 1 bed · 1 bath,$13,4.76, (21 reviews)
30,https://www.airbnb.com/rooms/47395392?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,O-KO house #B1819 Cozy 1BR@BSD City,2 guests · 1 bedroom · 1 bed · 1 bath,$19,4.64, (11 reviews)
31,https://www.airbnb.com/rooms/34094130?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Newly & Cozy @Branz Apt; near Aeon Mall & ICE BSD,3 guests · 1 bedroom · 2 beds · 1 bath,$25,4.83, (70 reviews)
32,https://www.airbnb.com/rooms/42632114?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,Bright Spacious Homey Bintaro Apt Breeze - Studio,3 guests · 1 bedroom · 2 beds · 1 bath,$20,4.94, (33 reviews)
33,https://www.airbnb.com/rooms/34204457?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3adfdd-d858-4d15-b1b5-939d78982a33,"SPRING WATER@the ALTIZ, Bintaro Plaza Recidences",2 guests · Studio · 1 bed · 1 bath,$21,5.0, (35 reviews)
34,https://www.airbnb.com/rooms/29528954?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"Cozy house near @ICE BSD, AEON,  Prasmul, BSD",6 guests · 2 bedrooms · 4 beds · 1 bath,$32,4.82, (55 reviews)
35,https://www.airbnb.com/rooms/31183761?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"Bella Casa-Stylish Apt Casa De Parco, AEON&ICE BSD",3 guests · Studio · 1 bed · 1.5 baths,$25,4.98, (43 reviews)
36,https://www.airbnb.com/rooms/39488339?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"Akasa NEW Spacious Suite Apartm, Modern Lux & Cozy",4 guests · 1 bedroom · 2 beds · 2 baths,$37,5.0, (20 reviews)
37,https://www.airbnb.com/rooms/45181089?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,GWEN'S HOUSE - COZY & CHEAP APARTMENT IN BSD,4 guests · 1 bedroom · 2 beds · 1 bath,$29,5.0, (49 reviews)
38,https://www.airbnb.com/rooms/48600074?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Salawasna M99 De Parco BSD,6 guests · 2 bedrooms · 2 beds · 1 bath,$55,4.75, (4 reviews)
39,https://www.airbnb.com/rooms/41281695?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Cozy Studio Apartement in Bintaro,2 guests · Studio · 0 beds · 1 bath,$12,4.75, (12 reviews)
40,https://www.airbnb.com/rooms/46391741?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"Branz Bsd 3Br, near Aeon Mall and the Breeze",6 guests · 3 bedrooms · 3 beds · 3 baths,$100,4.75, (4 reviews)
41,https://www.airbnb.com/rooms/36161354?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Apartment in BSD City Serpong near to ICE BSD,2 guests · 1 bedroom · 1 bed · 1 bath,$28,4.96, (23 reviews)
42,https://www.airbnb.com/rooms/35639195?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,***Bougenville House BSD City***Nice Landscape,7 guests · 3 bedrooms · 3 beds · 2 baths,$52,4.91, (46 reviews)
43,https://www.airbnb.com/rooms/44300980?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Cozy Simple Studio Apartment *Disinfected*,2 guests · 1 bedroom · 1 bed · 1 bath,$21,5.0, (16 reviews)
44,https://www.airbnb.com/rooms/33255007?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"Nest at Branz BSD Near by AEON, ICE & The Breeze",4 guests · 2 bedrooms · 2 beds · 1 bath,$80,4.87, (32 reviews)
45,https://www.airbnb.com/rooms/35095746?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,"SUNFLOWER@the ACCENT, CBD Bintaro Jaya",3 guests · 1 bedroom · 1 bed · 1 bath,$28,5.0, (22 reviews)
46,https://www.airbnb.com/rooms/42632114?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Bright Spacious Homey Bintaro Apt Breeze - Studio,3 guests · 1 bedroom · 2 beds · 1 bath,$20,4.94, (33 reviews)
47,https://www.airbnb.com/rooms/15620836?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Spacious Comfy 2BR Apt w/ Pool - Near Mall & All!,6 guests · 2 bedrooms · 3 beds · 1 bath,$36,4.94, (84 reviews)
48,https://www.airbnb.com/rooms/45820945?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Homey Villa near ICE BSD Serpong by ZAL Home,10 guests · 4 bedrooms · 5 beds · 2 baths,$96,5.0, (11 reviews)
49,https://www.airbnb.com/rooms/39543355?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Cozy 1Bedroom Apt @ Branz BSD near AEON mall & ICE,4 guests · 1 bedroom · 2 beds · 1 bath,$32,5.0, (11 reviews)
50,https://www.airbnb.com/rooms/45834267?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Versatile House With Beautiful Garden Beyond,12 guests · 6 bedrooms · 9 beds · 3.5 baths,$105,5.0, (15 reviews)
51,https://www.airbnb.com/rooms/28748393?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=d20ac8cd-b1ed-43f3-b4a8-1fc9f2ae6326,Apartment The Accent Bintaro,4 guests · 1 bedroom · 1 bed · 1 bath,$33,5.0, (16 reviews)
52,https://www.airbnb.com/rooms/39601591?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,"Akasa *NEW* Homey, Modern & Cozy Studio Apartment",2 guests · Studio · 1 bed · 1 bath,$17,5.0, (3 reviews)
53,https://www.airbnb.com/rooms/44643208?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Green Lake View Apartment,1 guest · 1 bedroom · 0 beds · 1.5 baths,$10,4.33, (3 reviews)
54,https://www.airbnb.com/rooms/43280158?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Apartemen Treepark BSD - STUDIO (17),2 guests · Studio · 1 bed · 1 bath,$14,5.0, (3 reviews)
55,https://www.airbnb.com/rooms/39062726?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Kebayoran Icon - Cozy Studio in South Jakarta,2 guests · 1 bedroom · 1 bed · 1 bath,$23,4.95, (40 reviews)
56,https://www.airbnb.com/rooms/43304264?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Apartemen Treepark BSD - 1 BedRoom (26),3 guests · 1 bedroom · 1 bed · 1 bath,$14,4.60, (5 reviews)
57,https://www.airbnb.com/rooms/26322396?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,"Cozy studio next to mall,  10 mins to Jakarta",2 guests · Studio · 1 bed · 1 bath,$21,4.74, (23 reviews)
58,https://www.airbnb.com/rooms/34157677?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,((ALL SAFE)) NEW HOMMY STUDIO @ Senayan/Gandaria,2 guests · Studio · 1 bed · 1 bath,$20,4.91, (22 reviews)
59,https://www.airbnb.com/rooms/45823600?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Studio Apartment at Bintaro Plaza,2 guests · Studio · 1 bed · 1 bath,$21,4.81, (16 reviews)
60,https://www.airbnb.com/rooms/37418441?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,"Akasa Apartment BSD, Cozy and Homey studio Room",2 guests · 1 bedroom · 1 bed · 1 bath,$18,5.0, (3 reviews)
61,https://www.airbnb.com/rooms/38335176?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,Apartemen Saveria BSD - 1Bed Room (29),2 guests · 1 bedroom · 1 bed · 1 private bath,$16,4.59, (17 reviews)
62,https://www.airbnb.com/rooms/37758941?adults=1&previous_page_section_name=1000&translate_ugc=false&federated_search_id=8e3038d8-541a-42a2-b516-1d997ef0dd00,"Breezy 1BR apartment, pool and private gym access",2 guests · 1 bedroom · 2 beds · 1 bath,$18,5.0, (3 reviews)
